cod_aero,aeropuerto,ciudad,pais,latitud,longitud
SWCQ,Costa Marques Airport,COSTA MARQUES,Brasil ,-12.42109966,-64.25160217
TUPJ,Terrance B. Lettsome International Airport,Tortola,Islas Vírgenes (Británicas) ,18.44479942,-64.54299927
TUPW,Virgin Gorda Airport,Spanish Town,Islas Vírgenes (Británicas) ,18.44639969,-64.42749786
TUPA,Captain Auguste George Airport,Anegada,Islas Vírgenes (Británicas) ,18.72719955,-64.32969666
VYAN,Ann Airport,Ann,Myanmar ,19.769199,94.0261
VYAS,Anisakan Airport,Anisakan,Myanmar ,21.95540047,96.40609741
VYBG,Bagan Airport,Bagan,Myanmar ,21.17880058,94.93019867
VYCI,Coco Island Airport,Coco Island,Myanmar ,14.14150047,93.36849976
ROAH,Naha Airport,Okinawa,Japón ,26.19580078,127.6460037
RODE,Ie Shima Auxiliary Air Base,Iejima,Japón ,26.7257576,127.7649002
RODN,Kadena Air Base,Kadena,Japón ,26.3556,127.767998
ROIG,New Ishigaki Airport,Ishigaki,Japón ,24.396389,124.245
ROKJ,Kumejima Airport,Kumejima,Japón ,26.3635006,126.7139969
ROMD,Minami-Daito Airport,Minami Daito,Japón ,25.8465004,131.2630005
ROMY,Miyako Airport,Miyako,Japón ,24.78280067,125.2949982
RORK,Kitadaito Airport,Kitadaito,Japón ,25.94470024,131.3269959
RORS,Shimojishima Airport,Shimojishima,Japón ,24.82670021,125.1449966
RORT,Tarama Airport,Tarama,Japón ,24.65390015,124.6750031
RORY,Yoron Airport,Yoron,Japón ,27.04400063,128.4019928
ROTM,Futenma Marine Corps Air Station,Futema,Japón ,26.27429962,127.7559967
ROYN,Yonaguni Airport,Yonaguni Jima,Japón ,24.46689987,122.9779968
RPLL,Ninoy Aquino International Airport,Manila,Filipinas ,14.5086,121.019997
RPMC,Awang Airport,Cotabato,Filipinas ,7.165239811,124.2099991
RPML,Cagayan De Oro Airport,Ladag,Filipinas ,8.41562,124.611
RPMP,Pagadian Airport,Pagadian,Filipinas ,7.830731448,123.4611797
RPMR,General Santos International Airport,Romblon,Filipinas ,6.058000088,125.0960007
RPMZ,Zamboanga International Airport,Zamboanga,Filipinas ,6.922420025,122.0599976
RPUB,Loakan Airport,Baguio,Filipinas ,16.37509918,120.6200027
RPUD,Daet Airport,Daet,Filipinas ,14.12919998,122.9800034
RPUF,Basa Air Base,Floridablanca,Filipinas ,14.98724,120.492554
RPUG,Lingayen Airport,Lingayen,Filipinas ,16.03479958,120.2409973
RPUH,San Jose Airport,San Jose,Filipinas ,12.36149979,121.0469971
RPUL,Fernando Air Base,Lipa,Filipinas ,13.95499992,121.125
RPUM,Mamburao Airport,Mamburao,Filipinas ,13.20810032,120.6050034
RPUQ,Vigan Airport,Vigan,Filipinas ,17.55529976,120.3560028
RPUR,Dr.Juan C. Angara Airport,Baler,Filipinas ,15.729309,121.500034
RPUZ,Bagabag Airport,Bagabag,Filipinas ,16.6192,121.251999
RPVA,Daniel Z. Romualdez Airport,Tacloban,Filipinas ,11.228035,125.027761
RPVB,Bacolod-Silay Airport,Bacolod,Filipinas ,10.7764,123.014999
RPVD,Sibulan Airport,Dumaguete,Filipinas ,9.333709717,123.3000031
RPVE,Godofredo P. Ramos Airport,Caticlan,Filipinas ,11.9245,121.954002
RPVG,Guiuan Airport,Guiuan,Filipinas ,11.03549957,125.7419968
RPVI,Iloilo International Airport,Iloilo,Filipinas ,10.833017,122.493358
RPVK,Kalibo International Airport,Kalibo,Filipinas ,11.67940044,122.3759995
RPVP,Puerto Princesa Airport,Puerto Princesa,Filipinas ,9.742119789,118.7590027
RPVS,Evelio Javier Airport,San Jose,Filipinas ,10.76599979,121.9329987
SAAC,Comodoro Pierrestegui Airport,Concordia,Argentina ,-31.2969,-57.9966
SAAG,Gualeguaychu Airport,Gualeguaychu,Argentina ,-33.0103,-58.6131
SAAJ,Junin Airport,Junin,Argentina ,-34.5459,-60.9306
SAAP,General Urquiza Airport,Parana,Argentina ,-31.7948,-60.4804
SAAR,Islas Malvinas Airport,Rosario,Argentina ,-32.9036,-60.785
SAAV,Sauce Viejo Airport,Santa Fe,Argentina ,-31.7117,-60.8117
SABE,Jorge Newbery Airpark,Buenos Aires,Argentina ,-34.5592,-58.4156
SACO,Ingeniero Ambrosio Taravella Airport,Cordoba,Argentina ,-31.323601,-64.208
SACT,Chamical Airport,Gobernador Gordillo,Argentina ,-30.34530067,-66.29360198
SADF,San Fernando Airport,San Fernando,Argentina ,-34.4532,-58.5896
