local,tipo,denominacion,latitud,longitud,elevacion,referencia,condicion,trafico,provincia
HBI,Helipuerto,CÓRDOBA/HELIPUERTO CENTRO CÍVICO BICENTENARIO,-64.173382,-31.420398,392,Aeropuerto,PRIVADO,Nacional,CÓRDOBA
HBM,Helipuerto,BUENOS AIRES/MADERO,-58.344913,-34.621535,5,Ciudad de Buenos Aires,PRIVADO,Nacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
HBO,Helipuerto,EL BRACHO/TRANSENER S.A.,-65.163478,-26.993528,378,El Bracho,PRIVADO,Nacional,TUCUMÁN
HBP,Helipuerto,BAHÍA BLANCA/PBB POLISUR S.A.,-62.293984,-38.77345,5,Bahía Blanca,PRIVADO,Nacional,BUENOS AIRES
HBR,Helipuerto,CÓRDOBA/BERRINI,-64.34373,-31.439765,552,Córdoba,PRIVADO,Nacional,CÓRDOBA
HBT,Helipuerto,LA PLATA,-57.92948611,-34.90044444,6,La Plata,PRIVADO,Nacional,BUENOS AIRES
HCA,Helipuerto,COSTA AZUL/LA CALDERA,-56.678721,-36.666985,10,Duhau,,,
HCC,Helipuerto,CHOEL  CHOEL/TRANSENER S.A.,-65.68877,-39.566662,130,Lamarque,PRIVADO,Nacional,RÍO NEGRO
HCD,Helipuerto,SAN MARTÍN DE LOS ANDES/EA. LA CANDELARIA,-71.366646,-40.044053,914,San Martín de los Andes,PRIVADO,Nacional,NEUQUÉN
HCE,Helipuerto,HELIPLATAFORMA/RÍO CULLEN-HIDRACENTRO TOTAL AUSTRAL,-68.178889,-52.836389,39,,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HCG,Helipuerto,EZEIZA/TRANSENER S.A.,-58.719844,-34.912354,20,Cañuelas,PRIVADO,Nacional,BUENOS AIRES
HCI,Helipuerto,BELÉN DE ESCOBAR/CABAÑA SAN ISIDRO LABRADOR I,-58.78852,-34.378674,12,Belén de Escobar,PRIVADO,Nacional,BUENOS AIRES
HCL,Helipuerto,CATAN LIL/EA. SANTA ISABEL,-70.513907,-39.884782,950,Departamento de Collón Curá,PRIVADO,Nacional,NEUQUÉN
HCN,Helipuerto,EMBALSE/CENTRAL NUCLEAR,-64.439904,-32.229454,530,Embalse,PRIVADO,Nacional,CÓRDOBA
HCO,Helipuerto,CHENAUT/EL CAPRICHO,-59.315902,-34.232743,30,Estación Chenaut,PRIVADO,Nacional,BUENOS AIRES
HCP,Helipuerto,YACIMIENTO CAÑADON ALFA/TOTAL AUSTRAL S.A.,-68.572493,-52.738661,87,,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
HCR,Helipuerto,BARREALES - GRAN MENDOZA/TRANSENER S.A.,-68.579397,-33.099208,674,Barreales,PRIVADO,Nacional,MENDOZA
HCS,Helipuerto,CAPILLA DEL SEÑOR/LAS ARAUCARIAS,-59.170276,-34.307048,25,Capilla del Señor,PRIVADO,Nacional,BUENOS AIRES
HCT,Helipuerto,CAMPANA/TRANSENER S.A.,-58.999307,-34.174379,10,Campana,PRIVADO,Nacional,BUENOS AIRES
HCU,Helipuerto,CÓRDOBA/CIUDAD UNIVERSITARIA,-64.190266,-31.440805,440,Medina Allende,,,
HCV,Helipuerto,CABO VÍRGENES/BRM CABO VÍRGENES,-68.408453,-52.330311,55,Río Gallegos,PRIVADO,Nacional,SANTA CRUZ
HDA,Helipuerto,BUENOS AIRES/DARSENA SUR,-58.351532,-34.627862,5,Isla Demarchi,PUBLICO,Nacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
